seccode,market,jcn,name,pref,city,type,marketcap_m,since
2323,S,6011301016389,ｆｏｎｆｕｎ,東京都,渋谷区,10,2539,1997
2325,P,6011101045308,ＮＪＳ,東京都,港区,10,26738,1951
2326,P,3010001096117,デジタルアーツ,東京都,千代田区,10,64164,1995
2327,P,9010001045803,日鉄ソリューションズ,東京都,港区,10,429597,1980
2329,S,3010401015790,東北新社,東京都,港区,10,55615,1961
2330,S,9290001059247,フォーサイド,東京都,中央区,10,2600,2000
2331,P,3010401016070,綜合警備保障,東京都,港区,10,433976,1965
2332,S,8010401008344,クエスト,東京都,港区,10,6629,
2334,G,3010901015200,イオレ,東京都,中央区,10,3126,
2335,P,4010701002678,キューブシステム,東京都,品川区,10,17120,1972
2337,P,1010001068118,いちご,東京都,千代田区,17,174356,2000
2338,S,2011101046458,クオンタムソリューションズ,東京都,千代田区,10,43953,
2340,S,5010001063544,極楽湯ホールディングス,東京都,千代田区,10,12594,1980
2341,S,8010001084372,アルバイトタイムス,東京都,中央区,10,4163,1973
2342,G,9330001006698,トランスジェニック,福岡県,福岡市,10,4250,
2344,S,4021001037562,平安レイサービス,神奈川県,平塚市,10,9329,1969
2345,S,9010001041967,クシム,東京都,港区,10,4689,1997
2349,S,8040001063472,エヌアイデイ,千葉県,香取市,10,22221,
2351,G,2030001073593,ＡＳＪ,埼玉県,川口市,10,4333,1984
2353,P,8120001093305,日本駐車場開発,大阪府,大阪市,17,71422,1991
2354,S,7290801010765,ＹＥ　ＤＩＧＩＴＡＬ,福岡県,北九州市,10,14853,1978
2359,P,4010901003823,コア,東京都,世田谷区,10,25975,
2370,G,1020001039274,メディネット,東京都,品川区,10,10447,
2371,P,9011001065997,カカクコム,東京都,渋谷区,10,333514,1997
2372,P,8010701014711,アイロムグループ,東京都,千代田区,10,23788,
2373,S,5120001101680,ケア２１,大阪府,大阪市,10,9515,1993
2374,P,5010001078518,セントケア・ホールディング,東京都,中央区,10,22974,1983
2375,S,5011101030772,ギグワークス,東京都,港区,10,20472,1977
2376,S,1120001079723,サイネックス,大阪府,大阪市,10,5584,1966
2378,P,3010601020797,ルネサンス,東京都,墨田区,10,18429,1982
2379,P,6010401050785,ディップ,東京都,港区,10,190042,1997
2384,P,4010601013288,ＳＢＳホールディングス,東京都,新宿区,12,101401,1987
2385,G,4120901026508,総医研ホールディングス,大阪府,豊中市,10,4761,
2388,G,7010001085875,ウェッジホールディングス,東京都,江東区,16,4929,2001
2389,P,4010001102162,デジタルホールディングス,東京都,千代田区,10,26985,1994
2391,S,5010401026654,プラネット,東京都,港区,10,8112,
2393,S,3010401035013,日本ケアサプライ,東京都,港区,10,28125,1998
2395,P,9340001000031,新日本科学,鹿児島県,鹿児島市,10,66695,1973
2397,S,7020001035045,ＤＮＡチップ研究所,東京都,港区,10,4663,1999
2402,G,1010701000676,アマナ,東京都,品川区,10,563,1979
2404,S,5013201010877,鉄人化計画,東京都,目黒区,10,4490,1999
2408,S,8470001001397,ＫＧ情報,香川県,高松市,10,4335,1980
2410,P,8010401008039,キャリアデザインセンター,東京都,港区,10,12853,1993
2411,S,8010101001161,ゲンダイエージェンシー,東京都,新宿区,10,4600,
2412,P,8011001045281,ベネフィット・ワン,東京都,新宿区,10,237035,1996
2413,P,1010401063016,エムスリー,東京都,港区,10,1642192,2000
2415,S,2011101033968,ヒューマンホールディングス,東京都,新宿区,10,11581,2002
2418,S,2011001035049,ツカダ・グローバルホールディング,東京都,港区,10,18507,
2424,S,5180001085084,ブラス,愛知県,名古屋市,10,3997,1998
2425,S,8010801003671,ケアサービス,東京都,大田区,10,3003,
2427,P,2080001012662,アウトソーシング,東京都,千代田区,10,145245,1997
