seccode,market,jcn,name,pref,city,type,marketcap_m
8072,S,6010001033273,日本出版貿易株式会社,東京都,千代田区,13,1476
8025,S,2010001034878,株式会社ツカモトコーポレーション,東京都,中央区,13,4749
8066,S,7210001004022,三谷商事株式会社,福井県,福井市,13,178813
8129,P,4010901008153,東邦ホールディングス株式会社,東京都,世田谷区,13,269406
8104,S,9430001005194,クワザワホールディングス株式会社,北海道,札幌市,13,8715
8056,P,2010601029542,ＢＩＰＲＯＧＹ株式会社,東京都,江東区,10,442712
8045,S,8020001024889,横浜丸魚株式会社,神奈川県,横浜市,13,6034
8046,S,2010001034944,丸藤シートパイル株式会社,東京都,中央区,13,9688
8125,P,5120001048550,株式会社ワキタ,大阪府,大阪市,13,77356
8008,P,3010701025184,株式会社ヨンドシーホールディングス,東京都,品川区,14,46789
8105,S,1010001034953,堀田丸正株式会社,東京都,中央区,13,2982
8107,S,8140001007130,株式会社キムラタン,兵庫県,神戸市,4,4504
7459,P,5010001068510,株式会社メディパルホールディングス,東京都,中央区,13,562982
8158,P,9010001048574,ソーダニッカ株式会社,東京都,中央区,13,22394
8115,S,5130001019030,ムーンバット株式会社,京都府,京都市,13,2908
8117,S,3120001067115,中央自動車工業株式会社,大阪府,大阪市,13,68569
8133,P,9010401078551,伊藤忠エネクス株式会社,東京都,千代田区,13,181984
8060,P,5010401008297,キヤノンマーケティングジャパン株式会社,東京都,港区,13,483947
8118,S,8130001017089,株式会社キング,京都府,京都市,4,17439
8119,S,1010501004662,株式会社三栄コーポレーション,東京都,台東区,13,5892
8123,S,5011101004900,川辺株式会社,東京都,新宿区,13,1963
8035,P,4010401020757,東京エレクトロン株式会社,東京都,港区,9,10465530
8136,P,5010701003956,株式会社サンリオ,東京都,品川区,13,626657
8137,P,5010001045369,サンワテクノス株式会社,東京都,中央区,13,35441
8138,S,8120001080385,三京化成株式会社,大阪府,大阪市,13,4610
8139,S,9010501010760,株式会社ナガホリ,東京都,台東区,13,24623
8140,P,8010001008810,株式会社リョーサン,東京都,千代田区,13,116750
8141,P,3010701019351,新光商事株式会社,東京都,品川区,13,43028
