日付,コード,銘柄名,33業種コード,17業種コード,規模コード,市場コード,法人番号,法人名,法人名ふりがな,法人名英語,本店所在地,設立,時価総額
20231031,5704,ＪＭＣ,3500,7,-,G,2020001035875,株式会社ＪＭＣ,じぇいえむしー,JMC Corporation,神奈川県横浜市港北区新横浜２丁目５番５号,,6875
20231031,5706,三井金属鉱業,3500,7,4,P,7010701011370,三井金属鉱業株式会社,みついきんぞくこうぎょう,,東京都品川区大崎１丁目１１番１号,1950年（昭和25年）5月1日,259138
20231031,5707,東邦亜鉛,3500,7,7,P,9010001034863,東邦亜鉛株式会社,とうほうあえん,"Toho Zinc Co.,Ltd.",東京都千代田区丸の内１丁目８番２号,1937年（昭和12年）2月27日,16343
20231031,5711,三菱マテリアル,3500,7,4,P,6010001023786,三菱マテリアル株式会社,,Mitsubishi Materials Corporation,東京都千代田区丸の内３丁目２番３号,1990年（平成2年）（沿革：1871年（明治4年）九十九商会の鉱業部門進出[3]→1918年（大正7年）三菱鉱業株式会社創設[3]→1950年（昭和25年）太平鉱業株式会社創設[3]→1952年（昭和27年）三菱金属鉱業株式会社へ商号変更[3]→1990年三菱マテリアル株式会社創設[3]）,330236
20231031,5713,住友金属鉱山,3500,7,4,P,9010401015273,住友金属鉱山株式会社,すみともきんぞくこうざん,,東京都港区新橋５丁目１１番３号,1950年（昭和25年）3月1日（創業：1590年（天正18年））,1306337
20231031,5714,ＤＯＷＡホールディングス,3500,7,4,P,1010001008750,ＤＯＷＡホールディングス株式会社,どうわほーるでぃんぐす,,東京都千代田区外神田４丁目１４番１号,1937年（昭和12年）3月11日（株式会社藤田組）,324947
20231031,5715,古河機械金属,3500,7,7,P,7010001008803,古河機械金属株式会社,ふるかわきかいきんぞく,,東京都千代田区大手町２丁目６番４号,1918年（大正7年）創業は1875年（明治8年）,78626
20231031,5721,エス・サイエンス,3500,7,7,S,6010001084903,株式会社エス・サイエンス,えすさいえんす,,東京都中央区銀座８丁目９番１３号,1946年4月13日,3115
20231031,5724,アサカ理研,3500,7,-,S,7380001004435,株式会社アサカ理研,あさかりけん,,福島県郡山市田村町金屋字マセ口４７番地,1969年（昭和44年）8月25日（アサカ理研工業株式会社）,5613
20231031,5726,大阪チタニウムテクノロジーズ,3500,7,6,P,8140001052085,株式会社大阪チタニウムテクノロジーズ,おおさかちたにうむてくのろじーず,,兵庫県尼崎市東浜町１番地,1997年（平成9年）5月20日（株式会社シチックス尼崎）（創業は1952年（昭和27年）11月26日）,108965
20231031,5727,東邦チタニウム,3500,7,6,P,7021001007190,東邦チタニウム株式会社,とうほうちたにうむ,,神奈川県横浜市西区南幸１丁目１番１号,1953年8月20日,136127
20231031,5729,日本精鉱,3500,7,-,S,2011101016386,日本精鉱株式会社,にほんせいこう,,東京都新宿区下宮比町３番２号,1935年6月11日,6762
20231031,5741,ＵＡＣＪ,3500,7,6,P,9010001098116,株式会社ＵＡＣＪ,,,東京都千代田区大手町１丁目７番２号,1890年4月（住友伸銅場）,162624
20231031,5742,エヌアイシ・オートテック,3500,7,-,S,2230001000412,エヌアイシ・オートテック株式会社,えぬあいしおーとてっく,"NIC AUTOTEC, INC.",富山県富山市流杉２５５番地,,4477
20231031,5753,日本伸銅,3500,7,-,S,1120101008623,日本伸銅株式会社,にほんしんどう,,大阪府堺市堺区匠町２０番地１,1938年（昭和13年）4月9日,4489
20231031,5757,ＣＫサンエツ,3500,7,7,P,7230001010051,株式会社ＣＫサンエツ,しーけーさんえつ,,富山県高岡市守護町２丁目１２番１号,,32985
20231031,5759,日本電解,3500,7,-,G,3010001176546,日本電解株式会社,にっぽんでんかい,,茨城県筑西市下江連１２２６番地,,10181
20231031,5781,東邦金属,3500,7,-,S,5120001077491,東邦金属株式会社,とうほうきんぞく,,大阪府大阪市中央区備後町２丁目４番９号,1950年（昭和25年）2月1日,3077
20231031,5801,古河電気工業,3500,7,4,P,5010001008796,古河電気工業株式会社,ふるかわでんきこうぎょう,,東京都千代田区大手町２丁目６番４号,1896年（明治29年）6月25日[1],169989
20231031,5802,住友電気工業,3500,7,2,P,5120001077450,住友電気工業株式会社,すみともでんきこうぎょう,"Sumitomo Electric Industries, Ltd.",大阪府大阪市中央区北浜４丁目５番３３号,1920年（大正9年）12月（株式会社住友電線製造所）,1484669
20231031,5803,フジクラ,3500,7,4,P,2010601007861,株式会社フジクラ,ふじくら,,東京都江東区木場１丁目５番１号,1910年3月18日,339059
20231031,5805,ＳＷＣＣ,3500,7,6,P,7010401061336,ＳＷＣＣ株式会社,えすだぶりゅーしーしー,,神奈川県川崎市川崎区日進町１番１４号,,82061
20231031,5809,タツタ電線,3500,7,6,P,4122001004781,タツタ電線株式会社,たつたでんせん,"TATSUTA Electric Wire and Cable Co., Ltd.",大阪府東大阪市岩田町２丁目３番１号,1945年（昭和20年）9月28日（株式会社豆陽金属工業所）創業 1943年（昭和18年）8月1日（有限会社豆陽金属工業所）,47987
20231031,5816,オーナンバ,3500,7,-,S,6120001011879,オーナンバ株式会社,おーなんば,,大阪府大阪市東成区深江北３丁目１番２７号,1941年（昭和16年）9月15日,10172
20231031,5817,ＪＭＡＣＳ,3500,7,-,S,8122001015783,ＪＭＡＣＳ株式会社,じぇいまっくす,,兵庫県加東市森尾１２７番１,1965年（昭和40年）3月10日,2763
20231031,5819,カナレ電気,3500,7,7,S,8180001067823,カナレ電気株式会社,かなれでんき,,愛知県日進市藤枝町奥廻間１２０１番地１０,1974年（昭和49年）2月2日,10746
20231031,5820,三ッ星,3500,7,-,S,7120001025481,株式会社三ッ星,みつぼし,,大阪府大阪市中央区本町１丁目４番８号,1947年3月24日,8736
20231031,5821,平河ヒューテック,3500,7,7,P,1010701008364,平河ヒューテック株式会社,ひらかわひゅーてっく,,東京都港区芝４丁目１７番５号,1948年9月29日,24221
20231031,5830,いよぎんホールディングス,7050,15,4,P,3500001024507,株式会社いよぎんホールディングス,いよぎんほーるでぃんぐす,,愛媛県松山市南堀端町１番地,2022年10月3日,302440
20231031,5831,しずおかフィナンシャルグループ,7050,15,4,P,9080001025220,株式会社しずおかフィナンシャルグループ,しずおかふぃなんしゃるぐるーぷ,,静岡県静岡市葵区呉服町１丁目１０番地,2022年10月3日,718831
20231031,5832,ちゅうぎんフィナンシャルグループ,7050,15,4,P,1260001037279,株式会社ちゅうぎんフィナンシャルグループ,ちゅうぎんふぃなんしゃるぐるーぷ,,岡山県岡山市北区丸の内１丁目１５番２０号,2022年10月3日[1],200292
20231031,5834,ＳＢＩリーシングサービス,7100,16,-,G,4010401130688,ＳＢＩリーシングサービス株式会社,えすびーあいりーしんぐさーびす,,東京都港区六本木１丁目６番１号,,20414
20231031,5838,楽天銀行,7050,15,6,P,5010701022527,楽天銀行株式会社,らくてんぎんこう,,東京都港区港南２丁目１６番５号,2000年（平成12年）1月14日（日本電子決済企画株式会社）,451560
20231031,5842,インテグラル,7100,16,-,G,9010001097340,インテグラル株式会社,いんてぐらる,,東京都千代田区丸の内１丁目９番２号,2007年（平成19年）9月,72468
20231031,5843,ニッポンインシュア,7200,16,-,S,7290001022124,ニッポンインシュア株式会社,にっぽんいんしゅあ,,福岡県福岡市中央区天神２丁目１４番２号福岡証券ビル６階,,2029
20231031,5844,京都フィナンシャルグループ,7050,15,4,P,3130001075397,株式会社京都フィナンシャルグループ,きょうとふぃなんしゃるぐるーぷ,,京都府京都市下京区烏丸通松原上る薬師前町７００番地,,675741
20231031,5845,全保連,7200,16,-,S,9360001002793,全保連株式会社,ぜんほれん,,沖縄県那覇市字天久９０５番地,,19962
20231031,5851,リョービ,3500,7,6,P,8240001034478,リョービ株式会社,りょーび,,広島県府中市目崎町７６２番地,1943年（昭和18年）12月16日（株式会社菱備製作所）,98918
20231031,5852,アーレスティ,3500,7,7,P,7011201010490,株式会社アーレスティ,あーれすてぃ,,愛知県豊橋市三弥町中原１番２号,1943年11月2日（創業1938年6月22日）,20679
20231031,5856,エルアイイーエイチ,6100,14,-,S,3010001089995,株式会社エルアイイーエイチ,えるあいいーえいち,,東京都中央区銀座８丁目９番１３号,2004年10月1日,3446
20231031,5857,ＡＲＥホールディングス,3500,7,6,P,4140001030937,ＡＲＥホールディングス株式会社,えいあーるいーほーるでぃんぐす,"ARE Holdings, Inc.",兵庫県神戸市中央区加納町４丁目４番１７号,,151925
20231031,5884,クラダシ,6100,14,-,G,3011001100958,株式会社クラダシ,くらだし,,東京都品川区上大崎３丁目２番１号,,4661
20231031,5885,ジーデップ・アドバンス,6050,13,-,S,1010001173009,株式会社ジーデップ・アドバンス,じーでっぷあどばんす,,宮城県仙台市青葉区国分町３丁目４番３３,2016年1月15日,11545
