日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240131,9211,エフ・コード,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9213,セイファート,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9214,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9215,ＣａＳｙ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9216,ビーウィズ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240131,9218,メンタルヘルステクノロジーズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9219,ギックス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9220,エフビー介護サービス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9221,フルハシＥＰＯ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9222,ｍａｎａｂｙ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9223,ＡＳＮＯＶＡ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9224,環境のミカタ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9225,ブリッジコンサルティンググループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9226,アイガー,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9227,マイクロ波化学,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9229,サンウェルズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9232,パスコ,スタンダード（内国株式）,5150,空運業,12,運輸・物流,7,TOPIX Small 2
20240131,9233,アジア航測,スタンダード（内国株式）,5150,空運業,12,運輸・物流,-,-
20240131,9235,売れるネット広告社,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9236,ジャパンＭ＆Ａソリューション,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9237,笑美面,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9238,バリュークリエーション,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9239,ケーイーティ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9240,デリバリーコンサルティング,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9241,フューチャーリンクネットワーク,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9242,メディア総研,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9243,富士テクノホールディングス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9244,デジタリフト,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9245,リベロ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9246,プロジェクトホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9247,ＴＲＥホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240131,9248,人・夢・技術グループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240131,9249,日本エコシステム,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9250,ＧＲＣＳ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9251,ＡＢ＆Ｃｏｍｐａｎｙ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9252,ラストワンマイル,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9253,スローガン,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9254,ラバブルマーケティンググループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9256,サクシード,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9257,ＹＣＰホールディングス（グローバル）リミテッド　ＪＤＲ,グロース（外国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9258,ＣＳ－Ｃ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9259,タカヨシ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9260,西本Ｗｉｓｍｅｔｔａｃホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240131,9262,シルバーライフ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240131,9264,ポエック,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240131,9265,ヤマシタヘルスケアホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240131,9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240131,9268,オプティマスグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240131,9270,バリュエンスホールディングス,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240131,9271,和心,グロース（内国株式）,6100,小売業,14,小売,-,-
20240131,9272,ブティックス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9273,コーア商事ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240131,9274,ＫＰＰグループホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20240131,9275,ナルミヤ・インターナショナル,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240131,9278,ブックオフグループホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240131,9279,ギフトホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240131,9282,いちごグリーンインフラ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20240131,9284,カナディアン・ソーラー・インフラ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20240131,9285,東京インフラ・エネルギー投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20240131,9286,エネクス・インフラ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20240131,9287,ジャパン・インフラファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20240131,9301,三菱倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,4,TOPIX Mid400
20240131,9302,三井倉庫ホールディングス,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,6,TOPIX Small 1
20240131,9303,住友倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,6,TOPIX Small 1
20240131,9304,澁澤倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9305,ヤマタネ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240131,9306,東陽倉庫,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9307,杉村倉庫,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20240131,9308,乾汽船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,6,TOPIX Small 1
20240131,9310,日本トランスシティ,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9311,アサガミ,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20240131,9312,ケイヒン,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9313,丸八倉庫,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20240131,9319,中央倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9322,川西倉庫,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9324,安田倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9325,ファイズホールディングス,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9326,関通,グロース（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20240131,9327,イー・ロジット,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20240131,9330,揚羽,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9331,キャスター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9332,ＮＩＳＳＯホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240131,9334,アイビスホールディングス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9335,テクノクリエイティブ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9336,大栄環境,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240131,9337,トリドリ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9338,ＩＮＦＯＲＩＣＨ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9339,コーチ・エィ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9340,アソインターナショナル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9341,ＧＥＮＯＶＡ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9342,スマサポ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9343,アイビス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9344,アクシスコンサルティング,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9345,ビズメイツ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9346,ココルポート,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9347,日本管財ホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240131,9348,ｉｓｐａｃｅ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9351,東洋埠頭,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9353,櫻島埠頭,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20240131,9355,リンコーコーポレーション,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
