ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E01195,内国法人・組合,上場,有,1617, 3月31日,クニミネ工業株式会社,"KUNIMINE INDUSTRIES CO.,LTD",クニミネコウギョウカブシキガイシャ,千代田区岩本町一丁目１０番５号,ガラス・土石製品,53880,6010001015098
E01200,内国法人・組合,上場,有,2019, 3月31日,日本興業株式会社,"NIHON KOGYO CO., LTD.",ニホンコウギョウカブシキガイシャ,さぬき市志度４６１４番地１３,ガラス・土石製品,52790,3470001011236
E01202,内国法人・組合,上場,有,100, 3月31日,ヨシコン株式会社,"Yoshicon Co.,Ltd",ヨシコンカブシキカイシャ,静岡市葵区常磐町一丁目４番地の１２,不動産業,52800,1080001010527
E01204,内国法人・組合,上場,無,2144, 3月31日,株式会社鶴弥,"TSURUYA CO.,LTD.",カブシキガイシャツルヤ,半田市州の崎町２番地１２,ガラス・土石製品,53860,2180001091861
E01205,内国法人・組合,上場,無,80,12月31日,株式会社倉元製作所,"KURAMOTO CO.,LTD.",カブシキガイシャクラモトセイサクショ,栗原市若柳武鎗字花水前１番地１,ガラス・土石製品,52160,1370201003004
E01206,内国法人・組合,上場,有,3352, 3月31日,ジオスター株式会社,GEOSTR Corporation,ジオスターカブシキガイシャ,文京区小石川一丁目４番１号,ガラス・土石製品,52820,2010001083727
E01207,内国法人・組合,上場,有,4753, 3月31日,株式会社フジミインコーポレーテッド,FUJIMI  INCORPORATED,カブシキガイシャフジミインコーポレーテッド,清須市西枇杷島町地領２丁目１番地１,ガラス・土石製品,53840,7180001045697
E01208,内国法人・組合,上場,有,1264, 6月30日,株式会社高見澤,"TAKAMISAWA CO., LTD.",カブシキガイシャタカミサワ,長野市大字鶴賀字苗間平１６０５番地１４,卸売業,52830,9100001001879
E01210,内国法人・組合,上場,有,8647, 3月31日,株式会社ＭＡＲＵＷＡ,"MARUWA CO., LTD.",カブシキガイシャマルワ,尾張旭市南本地ヶ原町三丁目８３番地,ガラス・土石製品,53440,2180001079691
E01211,内国法人・組合,上場,有,800, 3月31日,ヤマウホールディングス株式会社,"YAMAU HOLDINGS CO., LTD.",ヤマウホールディングスカブシキガイシャ,福岡市中央区舞鶴三丁目２番１号,ガラス・土石製品,52840,6290001010856
E01212,内国法人・組合,上場,有,1752, 3月31日,株式会社ヤマックス,YAMAX Corp.,カブシキガイシャヤマックス,熊本市中央区水前寺３丁目９番５号,ガラス・土石製品,52850,5330001004739
E01216,内国法人・組合,上場,無,500, 3月31日,株式会社イトーヨーギョー,"ITO YOGYO CO.,  LTD.",カブシキガイシャイトーヨーギョー,神戸市中央区中山手通５丁目１番３号,ガラス・土石製品,52870,3140001003027
E01217,内国法人・組合,上場,有,829, 3月31日,テクノクオーツ株式会社,Techno Quartz Inc.,テクノクオーツカブシキカイシャ,中野区本町一丁目３２番２号,ガラス・土石製品,52170,7011101033823
E01218,内国法人・組合,上場,有,3379, 3月31日,Ｍｉｐｏｘ株式会社,Mipox Corporation,マイポックスカブシキガイシャ,北杜市大泉町西井出８５６６,ガラス・土石製品,53810,2012801002444
E01219,内国法人・組合,上場,有,412, 6月30日,新東株式会社,SHINTO COMPANY LIMITED,シントウカブシキガイシャ,高浜市論地町四丁目７番地２,ガラス・土石製品,53800,9180301015778
E01221,内国法人・組合,上場,有,2070, 3月31日,岡本硝子株式会社,"OKAMOTO GLASS CO., LTD.",オカモトガラスカブシキガイシャ,柏市十余二３８０番地,精密機器,77460,2040001065334
E01222,内国法人・組合,上場,有,6621, 3月31日,アジアパイルホールディングス株式会社,ASIA PILE HOLDINGS CORPORATION,アジアパイルホールディングスカブシキガイシャ,中央区日本橋箱崎町３６番２号　Ｄａｉｗａリバーゲート,ガラス・土石製品,52880,2010001119497
E01223,内国法人・組合,上場,有,7947,12月31日,東洋炭素株式会社,"TOYO TANSO CO.,LTD.",トウヨウタンソカブシキガイシャ,大阪市西淀川区竹島五丁目７番１２号,ガラス・土石製品,53100,1120001050238
E01225,内国法人・組合,上場,有,419524, 3月31日,日本製鉄株式会社,NIPPON STEEL CORPORATION,ニッポンセイテツカブシキガイシャ,千代田区丸の内二丁目６番１号,鉄鋼,54010,3010001008848
E01229,内国法人・組合,上場,有,20044, 3月31日,株式会社中山製鋼所,"NAKAYAMA STEEL WORKS, LTD.",カブシキガイシャナカヤマセイコウショ,大阪市大正区船町一丁目１番６６号,鉄鋼,54080,5120001027901
E01230,内国法人・組合,上場,有,20983, 3月31日,トピー工業株式会社,"TOPY INDUSTRIES,LIMITED",トピーコウギョウカブシキガイシャ,品川区大崎一丁目２番２号,輸送用機器,72310,2010701019419
E01231,内国法人・組合,上場,有,250930, 3月31日,株式会社　神戸製鋼所,"Kobe Steel, Ltd.",カブシキガイシャ　コウベセイコウショ,神戸市中央区脇浜海岸通２丁目２番４号,鉄鋼,54060,6140001005714
E01232,内国法人・組合,上場,有,19737, 3月31日,株式会社日本製鋼所,"The Japan Steel Works, Ltd.",カブシキガイシャニホンセイコウショ,品川区大崎一丁目１１番１号,機械,56310,5010701019531
